subject,subject_prolific,version,gender,age,education,income,race,phq91,phq92,gad71,gad72,audit,spq,ocir,tas,icar_responses,icar_correct,icar_num_correct,feedback,total_time,timestamp,id
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Woman,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,no,503040,2024-12-19 19:18:47,1411
5beb8419aec9ef0001e9d5fb,,v5_pilot2,Woman,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,interesting,465664,2024-12-19 19:27:38,1412
6362852176f08a3984fa6ef1,,v5_pilot2,Man,,High school,"$75,000-$100,000",,,,,,,,,,,,,no,745157,2024-12-19 19:29:18,1413
5c1827dbebe9950001752e40,,v5_pilot2,Man,,Postgraduate/Professional degree/other,"More than $100,000",,,,,,,,,,,,,None,477228,2024-12-19 19:29:30,1414
5fb757520b48c928a9b6e00b,,v5_pilot2,Woman,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,No. It all made sense.,729297,2024-12-19 19:32:07,1415
66cf6c471a4e4397dac16e71,,v5_pilot2,Man,,4 year degree,"$25,000-$50,000",,,,,,,,,,,,,no,748742,2024-12-19 19:32:50,1416
66bf96a398b165333e46f5e1,,v5_pilot2,Woman,,Some college,"Less than $25,000",,,,,,,,,,,,,no. great study,865642,2024-12-19 19:34:48,1417
5c01d3c509e9c70001500b10,,v5_pilot2,Woman,,4 year degree,Prefer not to say,,,,,,,,,,,,, no,959012,2024-12-19 19:35:38,1418
594a955b09c434000142a8fb,,v5_pilot2,Woman,,Postgraduate/Professional degree/other,"More than $100,000",,,,,,,,,,,,,"no, everything was fine",498665,2024-12-19 19:37:08,1419
675f50ab88662e8002f0ee08,,v5_pilot2,Man,,Postgraduate/Professional degree/other,"$75,000-$100,000",,,,,,,,,,,,,no comments,1083184,2024-12-19 19:37:39,1420
66ee1b8ee4da3710c1695515,,v5_pilot2,Woman,,4 year degree,"More than $100,000",,,,,,,,,,,,,Everything was clear,1161417,2024-12-19 19:38:28,1421
5928b6414a05920001393ecf,,v5_pilot2,Woman,,High school,"$50,000-$75,000",,,,,,,,,,,,,No feedback.,1036789,2024-12-19 19:41:57,1422
66c3d098ba154cc6b959cd6d,,v5_pilot2,Woman,,4 year degree,"$50,000-$75,000",,,,,,,,,,,,,No. ,725724,2024-12-19 19:42:32,1423
60675b278929f00a78c91c3f,,v5_pilot2,Man,,4 year degree,"$50,000-$75,000",,,,,,,,,,,,,none were confusing. The survey transitioned nicely,1487586,2024-12-19 19:43:49,1424
6760b3ba799791bde55247b4,,v5_pilot2,Woman,,Some college,"$50,000-$75,000",,,,,,,,,,,,,the survey was easy to understand,1393831,2024-12-19 19:44:17,1425
66632c69d2b270f0314a0b16,,v5_pilot2,Man,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,none,1615880,2024-12-19 19:44:46,1426
6763f037f664e455a22d3f42,,v5_pilot2,Man,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,"Some looked somewhat new to me,but I enjoyed the study.",1454889,2024-12-19 19:45:43,1427
663a5c69296e5ab16fa30d00,,v5_pilot2,Woman,,Some college,"$50,000-$75,000",,,,,,,,,,,,,I was a little confused on the reading comprehension.,1181521,2024-12-19 19:45:58,1428
67276ea4e89404cc3ccdc824,,v5_pilot2,Woman,,4 year degree,"More than $100,000",,,,,,,,,,,,,No comment,1453104,2024-12-19 19:47:07,1429
66d375043d9de95a440447e6,,v5_pilot2,Man,,Some college,"$25,000-$50,000",,,,,,,,,,,,,This was fun. I thoroughly enjoyed it!,693598,2024-12-19 20:17:04,1430
6764396d96c17bbd5b758fba,,v5_pilot2,Woman,,4 year degree,"$50,000-$75,000",,,,,,,,,,,,,Everything went on smoothly ,1141347,2024-12-20 16:23:11,1432
67497e622b1507cdc1c2aa49,,v5_pilot2,Man,,4 year degree,"$50,000-$75,000",,,,,,,,,,,,,no,503635,2024-12-20 16:29:27,1433
6022cb0bc69ce70874b42f78,,v5_pilot2,Woman,,4 year degree,"Less than $25,000",,,,,,,,,,,,,I thought that this study was interesting or engaging the whole thing made perfect sense to me,491268,2024-12-20 16:33:05,1434
665f1309c64c2a4f4ea7bb91,,v5_pilot2,Woman,,4 year degree,"$25,000-$50,000",,,,,,,,,,,,,no comment,418342,2024-12-20 16:33:06,1435
5baec6c108a10b000139cce8,,v5_pilot2,Woman,,4 year degree,"$25,000-$50,000",,,,,,,,,,,,,No,360755,2024-12-20 16:35:47,1436
664652ddda67a00a585caca5,,v5_pilot2,Woman,,Some college,"$25,000-$50,000",,,,,,,,,,,,,"No, it was all very easy to understand.",873516,2024-12-20 16:36:30,1437
672bcb852371307f3e808b23,,v5_pilot2,Man,,4 year degree,"More than $100,000",,,,,,,,,,,,,Little confused on the connection of these studies,646139,2024-12-20 16:38:17,1438
6081806ab383aa89f6c61940,,v5_pilot2,Woman,,4 year degree,"More than $100,000",,,,,,,,,,,,,no,557714,2024-12-20 16:38:27,1439
6757d7f2fa46ca15d04e50b4,,v5_pilot2,Man,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,no feedback,1154942,2024-12-20 16:39:43,1440
56797198c3041a0012b64b5e,,v5_pilot2,Woman,,4 year degree,"$25,000-$50,000",,,,,,,,,,,,,All parts were clear to me. ,618238,2024-12-20 16:40:25,1441
5b662d96b178a90001d16ea6,,v5_pilot2,Man,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,"No feedback, everything made sense in the context used",879735,2024-12-20 16:40:29,1442
663a94c4f1f80e7c9c8a2d19,,v5_pilot2,Woman,,Postgraduate/Professional degree/other,"$25,000-$50,000",,,,,,,,,,,,,None,535588,2024-12-20 16:41:04,1443
6714eae9498ae545ce540926,,v5_pilot2,Man,,4 year degree,"More than $100,000",,,,,,,,,,,,,no,1207909,2024-12-20 16:41:38,1444
676362bdfef03bf31281312d,,v5_pilot2,Woman,,4 year degree,"$75,000-$100,000",,,,,,,,,,,,,No,641399,2024-12-20 16:41:38,1445
664fe905b115cee7ef9dc8df,,v5_pilot2,Woman,,4 year degree,"$25,000-$50,000",,,,,,,,,,,,,No.,1045146,2024-12-20 16:42:19,1446
66639889ea005547089b6cbf,,v5_pilot2,Woman,,2 year degree,"More than $100,000",,,,,,,,,,,,,No it was all really clear.,488427,2024-12-20 16:44:14,1447
6304b7a752adde130e57bddf,,v5_pilot2,Woman,,High school,"More than $100,000",,,,,,,,,,,,,no,661365,2024-12-20 16:47:37,1448
674e8432cd2245c036228396,,v5_pilot2,Woman,,Some college,"Less than $25,000",,,,,,,,,,,,,most of it,417217,2024-12-20 16:47:52,1449
675af7ba3d278ff7e52196d1,,v5_pilot2,Man,,Postgraduate/Professional degree/other,"$50,000-$75,000",,,,,,,,,,,,,there were no confusing parts all parts required logical reasoning ,1080701,2024-12-20 16:48:04,1450
6428f7ac297e312f7262d93b,,v5_pilot2,Woman,,Some college,"More than $100,000",,,,,,,,,,,,,no,519693,2024-12-20 16:48:27,1451
5ecf40ccb218ec372490e3ea,,v5_pilot2,Some other way,,4 year degree,Prefer not to say,,,,,,,,,,,,,No,361233,2024-12-20 16:49:07,1452
6630f8111375c019e8380986,,v5_pilot2,Woman,,2 year degree,"$25,000-$50,000",,,,,,,,,,,,,No feedback at this time,790802,2024-12-20 16:49:28,1453
67439bd25ea9ffc95e0d0ebe,,v5_pilot2,Man,,4 year degree,"$25,000-$50,000",,,,,,,,,,,,,Not applicable,741514,2024-12-20 16:49:54,1454
66805f486ae4ada5289839e3,,v5_pilot2,Man,,2 year degree,"$25,000-$50,000",,,,,,,,,,,,,No,619709,2024-12-20 16:50:45,1455
60c847e9a5930ff7e5ace6e7,,v5_pilot2,Woman,,4 year degree,"Less than $25,000",,,,,,,,,,,,,no,445470,2024-12-20 16:52:15,1456
664647d420183b9017337dfa,,v5_pilot2,Woman,,Postgraduate/Professional degree/other,"$75,000-$100,000",,,,,,,,,,,,,No not really,653398,2024-12-20 16:52:52,1457
673e1fd0bd9093214a458228,,v5_pilot2,Woman,,Some college,"$25,000-$50,000",,,,,,,,,,,,,"Not really. It was very slightly mentally challenging to jump from one task to another and not knowing what to expect, but I enjoyed the challenge. ",669178,2024-12-20 16:53:04,1458
61287939bc5a971fc15333e4,,v5_pilot2,Man,,2 year degree,"$25,000-$50,000",,,,,,,,,,,,,interesting,1193558,2024-12-20 16:54:05,1459
6728ae9120bb974219a023e9,,v5_pilot2,Woman,,Postgraduate/Professional degree/other,"More than $100,000",,,,,,,,,,,,,No. I understood all parts.,1015064,2024-12-20 16:54:30,1460
